127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/js/jquery.js, HTTP/1.1, 304, 0.001060
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/css/calendar.css, HTTP/1.1, 304, 0.001849
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/js/calendar.js, HTTP/1.1, 304, 0.001294
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/js/web2py.js, HTTP/1.1, 304, 0.001044
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/css/web2py.css, HTTP/1.1, 304, 0.000709
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000437
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000377
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000412
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000942
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000974
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/js/share.js, HTTP/1.1, 304, 0.000362
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/images/twitter.png, HTTP/1.1, 304, 0.000422
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/images/facebook.png, HTTP/1.1, 304, 0.001179
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/images/gplus-32.png, HTTP/1.1, 304, 0.001054
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.541736
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001031
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/js/jquery.js, HTTP/1.1, 304, 0.001019
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/js/web2py.js, HTTP/1.1, 304, 0.001395
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/css/web2py.css, HTTP/1.1, 304, 0.000539
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/js/calendar.js, HTTP/1.1, 304, 0.000949
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/css/calendar.css, HTTP/1.1, 304, 0.000466
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000414
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000983
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/js/share.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001040
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000468
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/images/twitter.png, HTTP/1.1, 304, 0.000424
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/images/facebook.png, HTTP/1.1, 304, 0.001011
127.0.0.1, 2013-07-10 12:00:53, GET, /codespert/static/images/gplus-32.png, HTTP/1.1, 304, 0.000411
127.0.0.1, 2013-07-10 12:06:01, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.550048
127.0.0.1, 2013-07-10 12:06:06, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.554972
